medMz	medRt	compound	category	rt_diff	parent	mh_ctrl1	mh_ctrl2	mh_ctrl3	mh_eco1	mh_eco2	mh_eco3	mh_kpn1	mh_kpn2	mh_kpn3	mh_spn1	mh_spn2	mh_spn3
118.0506	8.067782	L-THREONINE	T	-0.05778217	118.0506	0	0	0	0	-5014640.35	-5096273.7	0	-5411581.14	-5469766.74	0	0	0
145.0613	8.176664	L-GLUTAMINE	T	0.01333523	145.0613	-4253.796399999999	0	-1279.2031000000002	-249302.99000000002	0	0	-136666.81050000002	922.145	0	0	0	0
104.035	8.211646	L-SERINE	T	-0.0216465	104.035	0	0	0	-3450372.52	-5739450.775	-5366958.5	-4752593.54	-5753154.563	-5686275.825	0	0	0
131.0457	8.232899	L-ASPARAGINE	T	-0.04289913	131.0457	0	0	0	-15134.014	-43052.244	-44516.299	-90297.68	-54546.981	-39169.3	0	0	0
189.0877	8.315203	LL-2-6-DIAMINOHEPTANEDIOATE	T	0.3747969	189.0877	0	0	0	-46065.269	-157441.772	-160217.44	0	-159007.141	-166238.418	0	0	0
219.098	8.343793	2-ACETAMIDO-2-DEOXY-BETA-D-GLUCOSYLAMINE	T	-0.3137932	219.098	0	0	0	-69622.7928	-140790.089	-136639.723	0	-136131.288	-153069.69199999998	0	0	0
174.0878	8.386919	CITRULLINE	T	-0.03691864	174.0878	0	0	0	0	0	0	-1708.4169	0	0	0	0	109396.12299999999
132.0298	8.51931	D-ASPARTATE	T	-0.009309769	132.0298	0	0	0	0	-3353738.3	-3498522.2	0	-3844104.4	-3144546.9	0	0	0
132.0298	8.51931	L-ASPARTATE	T	0.0006904602	132.0298	0	0	0	0	-3353738.3	-3498522.2	0	-3844104.4	-3144546.9	0	0	0
88.04011	8.521692	L-ALANINE	T	-0.511692	88.04011	0	0	0	0	-257763.87	-267469.15	0	-279434.46	-248387.14999999997	0	0	0
88.04011	8.521692	SARCOSINE	T	-0.4616919	88.04011	0	0	0	0	-257763.87	-267469.15	0	-279434.46	-248387.14999999997	0	0	0
88.04011	8.521692	SARCOSINE	T	-0.01169205	88.04011	0	0	0	0	-257763.87	-267469.15	0	-279434.46	-248387.14999999997	0	0	0
88.04011	8.521692	D-ALANINE	T	-0.511692	88.04011	0	0	0	0	-257763.87	-267469.15	0	-279434.46	-248387.14999999997	0	0	0
145.0977	8.63212	L-LYSINE	0	-0.002120018	145.0977	0	0	0	0	-1469478.8	-1014460.4	-1281341.36	-1493742.0	0	0	0	0
225.0986	8.644889	CARNOSINE	T	-0.02488899	225.0986	0	0	0	0	-48628.45999999999	0	-43937.86	-58698.74	0	0	72970.14	0
